dataset,run_index,board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,lib_commit,fw_git,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk2_start_ms,ppk2_end_ms,ppk2_duration_ms,ppk2_samples,ppk2_current_mean_uA,ppk2_current_p95_uA,ppk2_current_max_uA,ppk2_charge_uC,ppk2_energy_uJ
dataset2,21,NUCLEO-F446RE,STM32F446RE,84,3115121,sphincs_sha2_128s,keygen,0,32,1163228104,13847953,1417381.9787358,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2341,2350,433,2506013.0,2519860.0,13847.0,13848.0,31018.228658578857,31459.4965,31749.617,429509.690526,1417381.9787358
dataset2,21,NUCLEO-F446RE,STM32F446RE,84,3220377,sphincs_sha2_128s,sign,12,7856,250009143,2976299,305159.9888106,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2339,2349,433,2611269.0,2614245.0,2976.0,2977.0,31072.93968390998,31480.2458,31759.539,92472.723882,305159.9888106
dataset2,21,NUCLEO-F446RE,STM32F446RE,84,3220501,sphincs_sha2_128s,verify,7856,0,8847572,105328,10770.2492469,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2339,2349,433,2611393.0,2611498.0,105.0,106.0,31083.02358490566,31470.44525,31695.074,3263.711893,10770.2492469
dataset2,22,NUCLEO-F446RE,STM32F446RE,84,3234427,sphincs_sha2_128s,keygen,0,32,1163236488,13848053,1417534.702221,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2339,2349,433,2625319.0,2639167.0,13848.0,13849.0,31019.227306520326,31461.3196,31788.094,429555.97037,1417534.702221
dataset2,22,NUCLEO-F446RE,STM32F446RE,84,3339683,sphincs_sha2_128s,sign,12,7856,250041055,2976679,305595.9143457,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2339,2346,433,2730575.0,2733551.0,2976.0,2977.0,31117.19601310044,31474.6002,31724.951,92604.822529,305595.9143457
dataset2,22,NUCLEO-F446RE,STM32F446RE,84,3339806,sphincs_sha2_128s,verify,7856,0,8737042,104012,10708.272408899998,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2339,2346,433,2730698.0,2730802.0,104.0,105.0,31204.03954285714,31455.4142,31493.119,3244.9310330000003,10708.272408899998
dataset2,23,NUCLEO-F446RE,STM32F446RE,84,3353740,sphincs_sha2_128s,keygen,0,32,1163877797,13855688,1417187.1412610998,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2339,2349,433,2744632.0,2758487.0,13855.0,13856.0,30996.09343201501,31447.88025,31731.199,429450.648867,1417187.1412610998
dataset2,23,NUCLEO-F446RE,STM32F446RE,84,3458982,sphincs_sha2_128s,sign,12,7856,248854752,2962556,303837.79439640004,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2338,2346,432,2849874.0,2852836.0,2962.0,2963.0,31084.27178366521,31480.7299,31746.41,92072.058908,303837.79439640004
dataset2,23,NUCLEO-F446RE,STM32F446RE,84,3459104,sphincs_sha2_128s,verify,7856,0,8686632,103412,10513.0909356,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2338,2347,431,2849996.0,2850099.0,103.0,104.0,30932.25406730769,31376.636,31474.191,3185.7851320000004,10513.0909356
dataset2,24,NUCLEO-F446RE,STM32F446RE,84,3473032,sphincs_sha2_128s,keygen,0,32,1163396003,13849952,1417160.5556031,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2338,2344,432,2863924.0,2877773.0,13849.0,13850.0,31008.897521660645,31444.0783,31732.865,429442.592607,1417160.5556031
dataset2,24,NUCLEO-F446RE,STM32F446RE,84,3578283,sphincs_sha2_128s,sign,12,7856,249560931,2970963,304600.1978844,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2336,2343,431,2969175.0,2972145.0,2970.0,2971.0,31078.42226119152,31462.8185,31706.135,92303.090268,304600.1978844
dataset2,24,NUCLEO-F446RE,STM32F446RE,84,3578408,sphincs_sha2_128s,verify,7856,0,8970019,106785,10860.7391772,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2336,2344,431,2969300.0,2969406.0,106.0,107.0,31049.802551401863,31463.9543,31540.289,3291.1330840000005,10860.7391772
dataset2,25,NUCLEO-F446RE,STM32F446RE,84,3592330,sphincs_sha2_128s,keygen,0,32,1162890574,13843935,1417031.8151583,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2335,2343,432,2983222.0,2997065.0,13843.0,13844.0,31019.52178720023,31475.0912,31790.908,429403.580351,1417031.8151583
